当前为第1条语料。
青 B-LOC
s O
组 O
合 O
异 O
常 O
是 O
良 O
好 O
的 O
地 O
球 O
化 O
学 O
找 O
矿 O
标 O
志 O
。 O
﻿

当前为第57条语料。
( O
7 O
) O
自 O
然 O
金 O
重 O
砂 O
异 O
常 O
是 O
重 O
要 O
的 O
间 O
接 O
找 O
矿 O
标 O
志 O
。 O
4 O
. O
2 O
找 O
矿 O
方 O
向 O
( O
1 O
) O
青 B-LOC
云 I-LOC
山 I-LOC
铜 B-MT
金 I-MT
矿 I-MT
区 I-MT
东 O
矿 O
段 O
天 O
花 O
寨 O
一 O
带 O
不 O
整 O
合 O
面 O
。 O
侏 O
罗 O
系 O
长 O
林 O
组 O
呈 O
不 O
整 O
合 O
形 O
式 O
覆 O
盖 O
于 O
马 O
面 O
山 O
群 O
老 O
变 O
质 O
岩 O
之 O
上 O
, O
形 O
成 O
不 O
整 O
合 O
面 O
。 O
﻿

当前为第58条语料。
燕 O
山 O
晚 O
期 O
, O
马 O
面 O
山 O
群 O
变 O
质 O
岩 O
中 O
的 O
成 O
矿 O
元 O
素 O
( O
如 O
A O
u O
, O
C O
u O
, O
S O
) O
在 O
被 O
活 O
化 O
、 O
迁 O
移 O
后 O
, O
易 O
在 O
不 O
整 O
合 O
面 O
的 O
虚 O
脱 O
部 O
位 O
沉 O
淀 O
富 O
集 O
, O
具 O
有 O
形 O
成 O
铜 B-MT
金 I-MT
矿 I-MT
体 I-MT
的 O
条 O
件 O
。 O
化 O
探 O
土 O
壤 O
取 O
样 O
分 O
析 O
结 O
果 O
显 O
示 O
, O
金 O
异 O
常 O
的 O
分 O
布 O
与 O
马 O
面 O
山 O
群 O
、 O
长 O
林 O
组 O
二 O
者 O
不 O
整 O
合 O
面 O
一 O
致 O
, O
( O
2 O
) O
青 B-LOC
云 I-LOC
山 I-LOC
西 I-LOC
矿 I-LOC
段 I-LOC
深 O
部 O
。 O
西 O
矿 O
段 O
的 O
5 O
条 O
矿 O
体 O
具 O
有 O
“ O
上 O
金 O
下 O
铜 O
( O
多 O
金 O
属 O
) O
” O
的 O
特 O
点 O
, O
并 O
表 O
现 O
出 O
明 O
显 O
的 O
垂 O
向 O
蚀 O
变 O
分 O
带 O
: O
即 O
① O
上 O
部 O
为 O
褐 O
铁 O
矿 O
化 O
( O
赤 O
铁 O
矿 O
化 O
) O
石 O
英 O
脉 O
, O
主 O
要 O
蚀 O
变 O
有 O
硅 B-MA
化 I-MA
、 O
褐 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
绢 B-MA
英 I-MA
岩 I-MA
化 I-MA
等 O
。 O
﻿

当前为第59条语料。
② O
中 O
部 O
为 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
硅 B-MA
化 I-MA
破 O
碎 O
带 O
蚀 O
变 O
岩 O
, O
发 O
育 O
有 O
网 O
脉 O
状 O
硅 B-MA
化 I-MA
、 O
稠 O
密 O
浸 O
染 O
状 O
- O
团 O
块 O
状 O
黄 O
铁 O
矿 O
。 O
③ O
下 O
部 O
为 O
铜 O
多 O
金 O
属 O
蚀 O
变 O
矿 O
化 O
, O
发 O
育 O
有 O
浸 O
染 O
状 O
、 O
团 O
包 O
状 O
、 O
黄 O
铜 O
矿 O
, O
稀 O
疏 O
浸 O
染 O
状 O
方 O
铅 O
矿 O
化 O
等 O
, O
金 O
矿 O
化 O
比 O
较 O
微 O
弱 O
, O
但 O
矿 O
化 O
规 O
模 O
大 O
。 O
该 O
模 O
式 O
的 O
建 O
立 O
为 O
下 O
阶 O
段 O
对 O
青 B-LOC
云 I-LOC
山 I-LOC
矿 I-LOC
段 I-LOC
深 O
部 O
寻 O
找 O
铜 O
多 O
金 O
属 O
矿 O
具 O
有 O
重 O
要 O
意 O
义 O
。 O
﻿

当前为第60条语料。
( O
3 O
) O
青 B-LOC
云 I-LOC
山 I-LOC
矿 I-LOC
段 I-LOC
东 O
部 O
F O
3 O
7 O
断 O
裂 O
、 O
西 O
部 O
F O
3 O
断 O
裂 O
及 O
旁 O
侧 O
次 O
级 O
断 O
裂 O
在 O
走 O
向 O
( O
倾 O
向 O
) O
上 O
的 O
变 O
化 O
部 O
位 O
( O
即 O
断 O
裂 O
宽 O
度 O
膨 O
胀 O
地 O
段 O
) O
是 O
下 O
一 O
步 O
找 O
矿 O
评 O
价 O
的 O
重 O
点 O
。 O
因 O
这 O
种 O
地 O
段 O
具 O
有 O
较 O
大 O
容 O
矿 O
空 O
间 O
, O
含 O
矿 O
流 O
体 O
到 O
了 O
这 O
种 O
地 O
段 O
压 O
力 O
、 O
温 O
度 O
发 O
生 O
改 O
变 O
, O
造 O
成 O
成 O
矿 O
物 O
质 O
的 O
晶 O
出 O
和 O
沉 O
淀 O
, O
易 O
形 O
成 O
大 O
且 O
富 O
的 O
矿 O
体 O
, O
通 O
过 O
矿 O
区 O
的 O
找 O
矿 O
实 O
践 O
已 O
经 O
证 O
实 O
了 O
这 O
一 O
点 O
。 O
