当前为第1条语料。
小 B-LOC
结 O
物 O
, O
较 O
为 O
发 O
育 O
。 O
﻿

当前为第88条语料，且该条语料无标注实体。
还 O
有 O
一 O
种 O
呈 O
纹 O
层 O
状 O
、 O
条 O
带 O
状 O
产 O
出 O
, O
红 O
白 O
相 O
间 O
组 O
成 O
方 O
解 O
石 O
脉 O
。 O
﻿

当前为第89条语料。
小 B-LOC
东 I-LOC
沟 I-LOC
金 B-MT
矿 I-MT
主 O
要 O
赋 O
矿 O
岩 O
性 O
为 O
钙 O
质 O
千 O
枚 O
岩 O
、 O
钙 O
砂 O
岩 O
, O
岩 O
质 O
脆 O
弱 O
, O
易 O
断 O
裂 O
破 O
碎 O
, O
岩 O
石 O
化 O
学 O
性 O
质 O
活 O
泼 O
。 O
岩 O
浆 O
后 O
期 O
热 O
液 O
与 O
变 O
质 O
热 O
液 O
沿 O
深 O
部 O
断 O
裂 O
通 O
道 O
上 O
升 O
, O
一 O
部 O
分 O
通 O
过 O
交 O
代 O
作 O
用 O
, O
与 O
岩 O
石 O
发 O
生 O
反 O
应 O
, O
形 O
成 O
蚀 O
变 O
岩 O
型 O
金 O
矿 O
床 O
。 O
另 O
一 O
部 O
分 O
与 O
下 O
渗 O
的 O
大 O
气 O
降 O
水 O
发 O
生 O
对 O
流 O
循 O
环 O
作 O
用 O
, O
萃 O
取 O
围 O
岩 O
中 O
有 O
益 O
组 O
分 O
, O
形 O
成 O
含 O
矿 O
热 O
卤 O
水 O
, O
在 O
有 O
利 O
的 O
容 O
矿 O
空 O
间 O
充 O
填 O
成 O
矿 O
, O
形 O
成 O
裂 O
隙 O
充 O
填 O
型 O
金 O
矿 O
床 O
。 O
﻿

当前为第90条语料。
小 B-LOC
东 I-LOC
沟 I-LOC
金 B-MT
矿 I-MT
是 O
在 O
多 O
种 O
地 O
质 O
因 O
素 O
控 O
制 O
下 O
形 O
成 O
的 O
热 B-MT
液 I-MT
型 I-MT
金 I-MT
矿 I-MT
, O
其 O
主 O
要 O
的 O
控 O
矿 O
因 O
素 O
有 O
构 O
造 O
、 O
岩 O
性 O
及 O
热 O
液 O
作 O
用 O
。 O
断 O
裂 O
构 O
造 O
是 O
矿 O
床 O
最 O
主 O
要 O
的 O
控 O
矿 O
因 O
素 O
。 O
F B-MA
1 I-MA
、 I-MA
F I-MA
2 I-MA
、 I-MA
F I-MA
3 I-MA
断 I-MA
裂 I-MA
破 I-MA
碎 I-MA
蚀 O
变 O
带 O
既 O
是 O
导 O
矿 O
构 O
造 O
, O
又 O
是 O
储 O
矿 O
构 O
造 O
。 O
﻿

当前为第91条语料。
矿 O
区 O
内 O
所 O
有 O
的 O
金 O
矿 O
( O
化 O
) O
体 O
几 O
乎 O
全 O
部 O
赋 O
存 O
于 O
F O
1 O
、 O
F O
2 O
、 O
F O
3 O
断 O
裂 O
破 O
碎 O
带 O
中 O
, O
并 O
受 O
其 O
严 O
格 O
控 O
制 O
。 O
褶 O
皱 O
构 O
造 O
的 O
控 O
矿 O
作 O
用 O
主 O
要 O
表 O
现 O
为 O
背 O
斜 O
鞍 O
部 O
的 O
虚 O
脱 O
部 O
位 O
可 O
为 O
矿 O
液 O
提 O
供 O
容 O
矿 O
场 O
所 O
。 O
如 O
A B-MB
u I-MB
5 I-MB
即 O
发 O
育 O
于 O
小 O
东 O
沟 O
次 O
级 O
倒 O
转 O
背 O
斜 O
核 O
部 O
。 O
﻿

当前为第92条语料。
矿 O
区 O
内 O
金 O
矿 O
体 O
均 O
产 O
出 O
于 O
中 O
泥 O
盆 O
统 O
安 O
家 O
岔 O
组 O
上 O
段 O
第 O
一 O
层 O
( O
D O
2 O
a O
2 O
- O
1 O
) O
地 O
层 O
中 O
。 O
﻿

当前为第93条语料，且该条语料无标注实体。
并 O
对 O
岩 O
性 O
的 O
选 O
择 O
比 O
较 O
明 O
显 O
, O
赋 O
矿 O
岩 O
性 O
往 O
往 O
为 O
粒 O
度 O
相 O
对 O
较 O
粗 O
、 O
脆 O
性 O
大 O
、 O
渗 O
透 O
性 O
强 O
的 O
钙 O
质 O
千 O
枚 O
岩 O
、 O
钙 O
砂 O
岩 O
。 O
﻿

当前为第94条语料，且该条语料无标注实体。
这 O
类 O
岩 O
石 O
因 O
其 O
化 O
学 O
性 O
质 O
活 O
泼 O
, O
含 O
矿 O
热 O
液 O
充 O
填 O
交 O
代 O
充 O
分 O
, O
常 O
形 O
成 O
厚 O
大 O
矿 O
体 O
。 O
﻿

当前为第95条语料，且该条语料无标注实体。
而 O
对 O
以 O
塑 O
性 O
变 O
形 O
为 O
主 O
、 O
粒 O
度 O
较 O
细 O
、 O
渗 O
透 O
性 O
差 O
的 O
岩 O
石 O
, O
常 O
形 O
成 O
相 O
对 O
分 O
散 O
、 O
规 O
模 O
小 O
的 O
贫 O
矿 O
体 O
。 O
﻿

当前为第96条语料，且该条语料无标注实体。
围 O
岩 O
蚀 O
变 O
与 O
矿 O
体 O
密 O
不 O
可 O
分 O
, O
而 O
只 O
有 O
热 O
液 O
活 O
动 O
才 O
能 O
形 O
成 O
矿 O
化 O
和 O
围 O
岩 O
蚀 O
变 O
。 O
﻿

当前为第97条语料，且该条语料无标注实体。
所 O
以 O
热 O
液 O
活 O
动 O
愈 O
强 O
, O
蚀 O
变 O
带 O
愈 O
宽 O
、 O
愈 O
发 O
育 O
, O
矿 O
体 O
厚 O
度 O
愈 O
大 O
, O
品 O
位 O
愈 O
高 O
。 O
﻿

当前为第98条语料。
小 B-LOC
东 I-LOC
沟 I-LOC
金 B-MT
矿 I-MT
床 I-MT
属 O
岩 O
浆 O
后 O
期 O
中 B-MT
低 I-MT
温 I-MT
热 I-MT
液 I-MT
构 I-MT
造 I-MT
蚀 I-MT
变 I-MT
岩 I-MT
型 I-MT
金 I-MT
矿 I-MT
。 O
⑵ O
成 O
矿 O
方 O
式 O
以 O
中 O
低 O
温 O
热 O
液 O
充 O
填 O
交 O
代 O
为 O
主 O
。 O
⑶ O
金 O
矿 O
化 O
严 O
格 O
受 O
构 O
造 O
破 O
碎 O
带 O
控 O
制 O
。 O
﻿

当前为第99条语料，且该条语料无标注实体。
矿 O
化 O
的 O
强 O
弱 O
主 O
要 O
与 O
构 O
造 O
作 O
用 O
的 O
强 O
烈 O
程 O
度 O
密 O
切 O
相 O
关 O
。 O
﻿

当前为第100条语料，且该条语料无标注实体。
构 O
造 O
作 O
用 O
方 O
式 O
决 O
定 O
了 O
金 O
的 O
基 O
本 O
矿 O
化 O
类 O
型 O
。 O
﻿

当前为第101条语料，且该条语料无标注实体。
⑷ O
D O
2 O
a O
2 O
- O
1 O
为 O
金 O
的 O
赋 O
矿 O
层 O
位 O
, O
容 O
矿 O
岩 O
石 O
为 O
钙 O
质 O
千 O
枚 O
岩 O
、 O
钙 O
砂 O
岩 O
。 O
﻿

当前为第102条语料，且该条语料无标注实体。
⑸ O
硫 O
化 O
物 O
是 O
金 O
成 O
矿 O
与 O
找 O
矿 O
的 O
重 O
要 O
标 O
志 O
, O
褪 O
色 O
化 O
带 O
是 O
找 O
金 O
的 O
直 O
接 O
标 O
志 O
。 O
