当前为第1条语料。
广 B-MB
、 O
近 O
N O
S O
向 O
区 O
域 O
断 O
裂 O
及 O
旁 O
侧 O
次 O
级 O
N O
E O
、 O
N O
E O
E O
向 O
脆 O
— O
韧 O
性 O
剪 O
切 O
断 O
裂 O
、 O
裂 O
隙 O
带 O
。 O
﻿

当前为第48条语料，且该条语料无标注实体。
在 O
构 O
造 O
破 O
碎 O
、 O
挤 O
压 O
剪 O
切 O
变 O
形 O
强 O
烈 O
, O
热 O
液 O
蚀 O
变 O
发 O
育 O
( O
特 O
别 O
是 O
硅 O
化 O
、 O
黄 O
铁 O
矿 O
等 O
金 O
属 O
硫 O
化 O
物 O
矿 O
化 O
) O
地 O
段 O
, O
不 O
同 O
级 O
次 O
、 O
不 O
同 O
方 O
向 O
断 O
裂 O
交 O
汇 O
、 O
收 O
敛 O
部 O
位 O
是 O
金 O
矿 O
化 O
富 O
集 O
成 O
矿 O
的 O
有 O
利 O
部 O
位 O
。 O
﻿

当前为第49条语料。
( O
2 O
) O
沿 O
地 O
层 O
找 O
矿 O
有 O
利 O
的 O
地 O
层 O
为 O
震 O
旦 O
系 O
, O
次 O
为 O
丹 O
洲 O
群 O
。 O
﻿

当前为第50条语料，且该条语料无标注实体。
有 O
利 O
的 O
地 O
层 O
岩 O
性 O
为 O
浅 O
变 O
质 O
泥 O
质 O
岩 O
、 O
泥 O
质 O
粉 O
砂 O
岩 O
、 O
浅 O
变 O
质 O
含 O
硅 O
含 O
碳 O
泥 O
质 O
( O
粉 O
砂 O
) O
岩 O
和 O
浅 O
变 O
质 O
含 O
砾 O
泥 O
质 O
砂 O
岩 O
。 O
﻿

当前为第51条语料，且该条语料无标注实体。
( O
4 O
) O
重 O
视 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
金 O
矿 O
的 O
找 O
矿 O
该 O
类 O
型 O
金 O
矿 O
具 O
有 O
连 O
续 O
性 O
好 O
、 O
规 O
模 O
大 O
的 O
特 O
点 O
, O
应 O
是 O
找 O
矿 O
工 O
作 O
的 O
重 O
点 O
。 O
﻿

当前为第52条语料，且该条语料无标注实体。
( O
5 O
) O
岩 O
浆 O
岩 O
与 O
找 O
矿 O
雪 O
峰 O
期 O
基 O
性 O
— O
超 O
基 O
性 O
岩 O
含 O
金 O
性 O
查 O
定 O
结 O
果 O
[ O
6 O
] O
: O
超 O
基 O
性 O
岩 O
为 O
6 O
× O
1 O
0 O
- O
9 O
～ O
2 O
2 O
× O
1 O
0 O
- O
9 O
, O
平 O
均 O
9 O
. O
8 O
3 O
× O
1 O
0 O
- O
9 O
。 O
﻿

当前为第53条语料，且该条语料无标注实体。
基 O
性 O
岩 O
为 O
4 O
× O
1 O
0 O
- O
9 O
～ O
4 O
6 O
× O
1 O
0 O
- O
9 O
, O
平 O
均 O
1 O
0 O
. O
5 O
× O
1 O
0 O
- O
9 O
, O
具 O
有 O
明 O
显 O
的 O
富 O
金 O
性 O
, O
比 O
魏 O
得 O
波 O
尔 O
值 O
( O
超 O
基 O
性 O
岩 O
6 O
. O
6 O
× O
1 O
0 O
- O
9 O
, O
基 O
性 O
岩 O
4 O
. O
8 O
× O
1 O
0 O
- O
9 O
) O
高 O
1 O
. O
5 O
～ O
2 O
. O
2 O
倍 O
。 O
﻿

当前为第54条语料。
但 O
与 O
其 O
相 O
关 O
的 O
金 O
矿 O
化 O
仅 O
发 O
现 O
少 O
量 O
矿 O
( O
化 O
) O
点 O
, O
如 O
白 O
竹 O
山 O
、 O
鱼 O
塘 O
等 O
, O
印 O
支 O
期 O
花 O
岗 O
岩 O
也 O
发 O
现 O
金 O
矿 O
化 O
, O
值 O
得 O
重 O
视 O
。 O
广 O
西 O
龙 B-LOC
胜 I-LOC
地 I-LOC
区 I-LOC
金 B-MT
矿 I-MT
地 O
质 O
特 O
征 O
及 O
找 O
矿 O
方 O
向 O
。 O
